src,dst,time
2,3,0
5,5,699798
2,3,764356
2,3,948491
6,6,1029970
2,3,1877394
9,10,2163873
12,12,2393830
13,13,2578909
14,15,2594441
16,13,2740216
17,18,2746810
19,20,2806951
17,21,2808698
17,21,2808730
22,23,2832427
24,24,2856137
13,16,2901377
25,26,2901777
5,27,2914669
19,28,2989114
6,28,2990998
23,29,2999434
2,3,3103445
13,30,3106877
31,32,3112661
33,33,3157538
34,34,3162799
35,36,3253306
37,37,3546490
38,39,3646974
17,21,4025778
24,40,4099861
41,42,4123703
43,43,4123729
12,12,4143920
15,44,4360102
34,34,4363415
45,45,4365456
46,46,4423455
47,48,4484850
49,50,4680493
10,44,4684028
51,52,4720754
53,54,4735223
45,45,4791462
55,55,4797056
56,56,4814048
45,57,4861874
45,45,4885881
58,59,4924308
60,60,4944358
34,34,4971004
61,61,5016298
60,62,5190219
34,34,5222499
34,34,5238293
63,63,5267936
64,65,5619488
66,66,5690146
15,44,5750954
64,64,5925624
24,67,5964824
68,68,6057788
69,69,6058059
70,71,6121872
72,72,6183672
61,61,6307279
68,68,6313826
68,68,6313826
68,68,6313974
73,73,6325973
74,75,6342524
76,75,6346415
77,77,6383787
78,78,6389701
77,77,6459696
16,79,6482314
80,81,6527489
57,82,6619079
48,47,6655976
37,37,6732725
83,83,6734234
66,84,6792461
85,85,6981826
86,87,7104926
88,13,7150278
89,89,7160654
19,90,7211291
91,92,7352808
93,93,7588025
94,94,7602834
94,94,7602834
94,94,7602834
70,95,7623918
46,46,7680100
96,96,7688764
24,97,7702278
17,98,7855747
99,99,7867181
100,101,7943711
102,103,8147273
104,59,8199934
66,66,8211441
105,106,8277333
106,105,8278958
107,107,8344799
14,44,8387834
81,80,8541518
108,108,8612877
94,94,8653551
94,94,8653551
5,27,8791416
109,110,8944449
5,27,8970678
17,17,9026182
111,111,9047334
111,111,9047383
112,113,9085233
94,94,9193541
114,115,9208575
116,116,9291262
117,117,9305656
118,119,9312000
41,121,9460533
94,94,9467302
94,94,9467302
122,122,9499844
5,27,9582651
123,124,9650601
17,98,9653121
125,126,9723013
127,127,9778725
96,96,10011426
128,128,10014356
77,77,10071084
122,122,10076880
129,129,10159887
5,27,10209556
55,55,10277096
130,130,10281524
112,131,10378659
132,132,10415525
133,134,10420141
135,135,10467973
136,136,10470911
137,138,10688070
139,139,10697142
140,141,10698492
13,13,10702379
142,143,10771282
144,144,10778909
13,88,10786336
140,145,10857794
140,145,10893896
24,97,10987821
56,56,11027135
146,146,11241814
147,147,11265576
48,148,11276018
5,27,11325039
149,149,11351585
146,146,11403003
88,13,11471977
150,150,11474190
2,3,11479111
151,152,11490571
153,154,11499957
155,156,11663079
146,146,11846799
157,158,11882673
122,122,11902305
147,147,11936317
159,160,12012374
159,160,12012374
161,162,12063206
45,82,12070883
159,160,12072221
2,3,12086875
34,163,12108136
5,27,12136643
76,141,12158435
81,80,12165843
91,164,12426603
140,145,12440124
165,165,12444941
45,45,12513308
166,167,12547044
168,169,12574929
82,82,12582189
166,170,12593509
171,171,12623476
146,146,12627797
171,171,12638725
150,172,12659681
150,172,12659681
60,104,12675125
130,173,12703371
34,163,12773482
31,32,12792757
16,79,12794129
34,163,12834822
